         y,     x_in,    y_in,          x_corr,           y_corr
11400, 10000, 11400, 10994.3, 11895.2
11410, 10000, 11410, 10994, 11905
11420, 10000, 11420, 10993.6, 11914.7
11430, 10000, 11430, 10993.3, 11924.5
11440, 10000, 11440, 10992.9, 11934.3
11450, 10000, 11450, 10992.6, 11944
11460, 10000, 11460, 10992.2, 11953.8
11470, 10000, 11470, 10991.9, 11963.6
11480, 10000, 11480, 10991.5, 11973.3
11490, 10000, 11490, 10991.2, 11983.1
11500, 10000, 11500, 10990.8, 11992.9
11510, 10000, 11510, 10990.5, 12002.6
11520, 10000, 11520, 10990.1, 12012.4
11530, 10000, 11530, 10989.8, 12022.2
11540, 10000, 11540, 10989.4, 12031.9
11550, 10000, 11550, 10989.1, 12041.7
11560, 10000, 11560, 10988.7, 12051.5
11570, 10000, 11570, 10988.4, 12061.3
11580, 10000, 11580, 10988, 12071
11590, 10000, 11590, 10987.7, 12080.8
11600, 10000, 11600, 10987.3, 12090.6
11610, 10000, 11610, 10987, 12100.3
11620, 10000, 11620, 10986.7, 12110.1
11630, 10000, 11630, 10986.3, 12119.9
11640, 10000, 11640, 10986, 12129.6
11650, 10000, 11650, 10985.6, 12139.4
11660, 10000, 11660, 10985.3, 12149.2
11670, 10000, 11670, 10984.9, 12158.9
11680, 10000, 11680, 10984.6, 12168.7
11690, 10000, 11690, 10984.2, 12178.5
11700, 10000, 11700, 10983.9, 12188.2
11710, 10000, 11710, 10983.5, 12198
11720, 10000, 11720, 10983.2, 12207.8
11730, 10000, 11730, 10982.8, 12217.5
11740, 10000, 11740, 10982.5, 12227.3
11750, 10000, 11750, 10982.1, 12237.1
11760, 10000, 11760, 10981.8, 12246.8
11770, 10000, 11770, 10981.4, 12256.6
11780, 10000, 11780, 10981.1, 12266.4
11790, 10000, 11790, 10980.7, 12276.2
11800, 10000, 11800, 10980.4, 12285.9
11810, 10000, 11810, 10980, 12295.7
11820, 10000, 11820, 10979.7, 12305.5
11830, 10000, 11830, 10979.3, 12315.2
11840, 10000, 11840, 10979, 12325
11850, 10000, 11850, 10978.6, 12334.8
11860, 10000, 11860, 10978.3, 12344.5
11870, 10000, 11870, 10977.9, 12354.3
11880, 10000, 11880, 10977.6, 12364.1
11890, 10000, 11890, 10977.2, 12373.8
11900, 10000, 11900, 10976.9, 12383.6
11910, 10000, 11910, 10976.5, 12393.4
11920, 10000, 11920, 10976.2, 12403.1
11930, 10000, 11930, 10975.8, 12412.9
11940, 10000, 11940, 10975.5, 12422.7
11950, 10000, 11950, 10975.1, 12432.4
11960, 10000, 11960, 10974.8, 12442.2
11970, 10000, 11970, 10974.4, 12452
11980, 10000, 11980, 10974.1, 12461.7
11990, 10000, 11990, 10973.7, 12471.5
12000, 10000, 12000, 10973.4, 12481.3
12010, 10000, 12010, 10973, 12491.1
12020, 10000, 12020, 10972.7, 12500.8
12030, 10000, 12030, 10972.3, 12510.6
12040, 10000, 12040, 10972, 12520.4
12050, 10000, 12050, 10971.6, 12530.1
12060, 10000, 12060, 10971.3, 12539.9
12070, 10000, 12070, 10970.9, 12549.7
12080, 10000, 12080, 10970.6, 12559.4
12090, 10000, 12090, 10970.2, 12569.2
12100, 10000, 12100, 10969.9, 12579
12110, 10000, 12110, 10969.5, 12588.7
12120, 10000, 12120, 10969.2, 12598.5
12130, 10000, 12130, 10968.8, 12608.3
12140, 10000, 12140, 10968.5, 12618
12150, 10000, 12150, 10968.1, 12627.8
12160, 10000, 12160, 10967.8, 12637.6
12170, 10000, 12170, 10967.4, 12647.3
12180, 10000, 12180, 10967.1, 12657.1
12190, 10000, 12190, 10966.7, 12666.9
12200, 10000, 12200, 10966.4, 12676.6
12210, 10000, 12210, 10966, 12686.4
12220, 10000, 12220, 10965.7, 12696.2
12230, 10000, 12230, 10965.3, 12706
12240, 10000, 12240, 10965, 12715.7
12250, 10000, 12250, 10964.6, 12725.5
12260, 10000, 12260, 10964.3, 12735.3
12270, 10000, 12270, 10963.9, 12745
12280, 10000, 12280, 10963.6, 12754.8
12290, 10000, 12290, 10963.2, 12764.6
12300, 10000, 12300, 10962.9, 12774.3
12310, 10000, 12310, 10962.5, 12784.1
12320, 10000, 12320, 10962.2, 12793.9
12330, 10000, 12330, 10961.8, 12803.6
12340, 10000, 12340, 10961.5, 12813.4
12350, 10000, 12350, 10961.1, 12823.2
12360, 10000, 12360, 10960.8, 12832.9
12370, 10000, 12370, 10960.4, 12842.7
12380, 10000, 12380, 10960.1, 12852.5
12390, 10000, 12390, 10959.7, 12862.2
12400, 10000, 12400, 10959.4, 12872
12410, 10000, 12410, 10959, 12881.8
12420, 10000, 12420, 10958.7, 12891.6
12430, 10000, 12430, 10958.3, 12901.3
12440, 10000, 12440, 10958, 12911.1
12450, 10000, 12450, 10957.6, 12920.9
12460, 10000, 12460, 10957.3, 12930.6
12470, 10000, 12470, 10956.9, 12940.4
12480, 10000, 12480, 10956.6, 12950.2
12490, 10000, 12490, 10956.2, 12959.9
12500, 10000, 12500, 10955.9, 12969.7
12510, 10000, 12510, 10955.5, 12979.5
12520, 10000, 12520, 10955.2, 12989.2
12530, 10000, 12530, 10954.8, 12999
12540, 10000, 12540, 10954.5, 13008.8
12550, 10000, 12550, 10954.1, 13018.5
12560, 10000, 12560, 10953.8, 13028.3
12570, 10000, 12570, 10953.4, 13038.1
12580, 10000, 12580, 10953.1, 13047.8
12590, 10000, 12590, 10952.7, 13057.6
12600, 10000, 12600, 10952.4, 13067.4
12610, 10000, 12610, 10952, 13077.1
12620, 10000, 12620, 10951.7, 13086.9
12630, 10000, 12630, 10951.3, 13096.7
12640, 10000, 12640, 10951, 13106.5
12650, 10000, 12650, 10950.6, 13116.2
12660, 10000, 12660, 10950.3, 13126
12670, 10000, 12670, 10949.9, 13135.8
12680, 10000, 12680, 10949.6, 13145.5
12690, 10000, 12690, 10949.2, 13155.3
12700, 10000, 12700, 10948.9, 13165.1
12710, 10000, 12710, 10948.5, 13174.8
12720, 10000, 12720, 10948.2, 13184.6
12730, 10000, 12730, 10947.8, 13194.4
12740, 10000, 12740, 10947.5, 13204.1
12750, 10000, 12750, 10947.1, 13213.9
12760, 10000, 12760, 10946.8, 13223.7
12770, 10000, 12770, 10946.4, 13233.4
12780, 10000, 12780, 10946.1, 13243.2
12790, 10000, 12790, 10945.7, 13253
12800, 10000, 12800, 10945.4, 13262.7
12810, 10000, 12810, 10945, 13272.5
12820, 10000, 12820, 10944.7, 13282.3
12830, 10000, 12830, 10944.3, 13292
12840, 10000, 12840, 10944, 13301.8
12850, 10000, 12850, 10943.7, 13311.6
12860, 10000, 12860, 10943.3, 13321.4
12870, 10000, 12870, 10943, 13331.1
12880, 10000, 12880, 10942.6, 13340.9
12890, 10000, 12890, 10942.3, 13350.7
12900, 10000, 12900, 10941.9, 13360.4
12910, 10000, 12910, 10941.6, 13370.2
12920, 10000, 12920, 10941.2, 13380
12930, 10000, 12930, 10940.9, 13389.7
12940, 10000, 12940, 10940.5, 13399.5
12950, 10000, 12950, 10940.2, 13409.3
12960, 10000, 12960, 10939.8, 13419
12970, 10000, 12970, 10939.5, 13428.8
12980, 10000, 12980, 10939.1, 13438.6
12990, 10000, 12990, 10938.8, 13448.3
13000, 10000, 13000, 10938.4, 13458.1
13010, 10000, 13010, 10938.1, 13467.9
13020, 10000, 13020, 10937.7, 13477.6
13030, 10000, 13030, 10937.4, 13487.4
13040, 10000, 13040, 10937, 13497.2
13050, 10000, 13050, 10936.7, 13507
13060, 10000, 13060, 10936.3, 13516.7
13070, 10000, 13070, 10936, 13526.5
13080, 10000, 13080, 10935.6, 13536.3
13090, 10000, 13090, 10935.3, 13546
13100, 10000, 13100, 10934.9, 13555.8
13110, 10000, 13110, 10934.6, 13565.6
13120, 10000, 13120, 10934.2, 13575.3
13130, 10000, 13130, 10933.9, 13585.1
13140, 10000, 13140, 10933.5, 13594.9
13150, 10000, 13150, 10933.2, 13604.6
13160, 10000, 13160, 10932.8, 13614.4
